 x	data2	data1	
6.16	0.0340566	0.190528	
6.17	0.0340906	0.188529	
6.18	0.0341248	0.18654	
6.19	0.0341589	0.184561	
6.2	0.0341931	0.182594	
6.21	0.0342273	0.180638	
6.22	0.0342615	0.178693	
6.23	0.0342958	0.176759	
6.24	0.0343301	0.174837	
6.25	0.0343645	0.172927	
6.26	0.0343988	0.171029	
6.27	0.0344333	0.169143	
6.28	0.0344677	0.167269	
6.29	0.0345022	0.165408	
6.3	0.0345367	0.16356	
6.31	0.0345713	0.161724	
6.32	0.0346059	0.159901	
6.33	0.0346405	0.158091	
6.34	0.0346751	0.156294	
6.35	0.0347098	0.15451	
6.36	0.0347446	0.15274	
6.37	0.0347793	0.150982	
6.38	0.0348141	0.149239	
6.39	0.0348489	0.147509	
6.4	0.0348838	0.145792	
6.41	0.0349187	0.144089	
6.42	0.0349537	0.1424	
6.43	0.0349886	0.140725	
6.44	0.0350236	0.139063	
6.45	0.0350587	0.137416	
6.46	0.0350937	0.135782	
6.47	0.0351289	0.134162	
6.48	0.035164	0.132556	
6.49	0.0351992	0.130965	
6.5	0.0352344	0.129387	
6.51	0.0352697	0.127823	
6.52	0.0353049	0.126274	
6.53	0.0353403	0.124738	
6.54	0.0353756	0.123217	
6.55	0.035411	0.121709	
6.56	0.0354464	0.120216	
6.57	0.0354819	0.118736	
6.58	0.0355174	0.117271	
6.59	0.0355529	0.11582	
6.6	0.0355885	0.114382	
6.61	0.0356241	0.112959	
6.62	0.0356598	0.11155	
6.63	0.0356954	0.110154	
6.64	0.0357312	0.108773	
6.65	0.0357669	0.107405	
6.66	0.0358027	0.106051	
6.67	0.0358385	0.10471	
6.68	0.0358744	0.103384	
6.69	0.0359103	0.102071	
6.7	0.0359462	0.100771	
6.71	0.0359822	0.0994855	
6.72	0.0360182	0.0982131	
6.73	0.0360542	0.0969541	
6.74	0.0360903	0.0957085	
6.75	0.0361264	0.0944762	
6.76	0.0361625	0.0932571	
6.77	0.0361987	0.0920512	
6.78	0.0362349	0.0908583	
6.79	0.0362712	0.0896785	
6.8	0.0363075	0.0885116	
6.81	0.0363438	0.0873575	
6.82	0.0363801	0.0862163	
6.83	0.0364165	0.0850877	
6.84	0.036453	0.0839718	
6.85	0.0364894	0.0828685	
6.86	0.036526	0.0817776	
6.87	0.0365625	0.080699	
6.88	0.0365991	0.0796328	
6.89	0.0366357	0.0785788	
6.9	0.0366723	0.0775369	
6.91	0.036709	0.076507	
6.92	0.0367458	0.0754891	
6.93	0.0367825	0.0744831	
6.94	0.0368193	0.0734888	
6.95	0.0368562	0.0725062	
6.96	0.036893	0.0715352	
6.97	0.03693	0.0705756	
6.98	0.0369669	0.0696275	
6.99	0.0370039	0.0686906	
7	0.0370409	0.067765	
7.01	0.037078	0.0668505	
7.02	0.0371151	0.065947	
7.03	0.0371522	0.0650544	
7.04	0.0371894	0.0641726	
7.05	0.0372266	0.0633016	
7.06	0.0372638	0.0624413	
7.07	0.0373011	0.0615914	
7.08	0.0373384	0.060752	
7.09	0.0373758	0.059923	
7.1	0.0374132	0.0591042	
7.11	0.0374506	0.0582955	
7.12	0.0374881	0.057497	
7.13	0.0375256	0.0567083	
7.14	0.0375631	0.0559296	
7.15	0.0376007	0.0551606	
7.16	0.0376383	0.0544013	
7.17	0.037676	0.0536515	
7.18	0.0377137	0.0529113	
7.19	0.0377514	0.0521804	
7.2	0.0377892	0.0514588	
7.21	0.037827	0.0507464	
7.22	0.0378648	0.0500431	
