 x	data2	data1	
8.59	0.565755	0.00456392	
8.6	0.565321	0.00449627	
8.61	0.564886	0.00442963	
8.62	0.564451	0.00436397	
8.63	0.564015	0.00429928	
8.64	0.563579	0.00423554	
8.65	0.563142	0.00417274	
8.66	0.562705	0.00411088	
8.67	0.562267	0.00404992	
8.68	0.56183	0.00398987	
8.69	0.561391	0.0039307	
8.7	0.560952	0.0038724	
8.71	0.560513	0.00381497	
8.72	0.560073	0.00375839	
8.73	0.559633	0.00370264	
8.74	0.559193	0.00364771	
8.75	0.558752	0.0035936	
8.76	0.55831	0.00354029	
8.77	0.557868	0.00348777	
8.78	0.557426	0.00343602	
8.79	0.556983	0.00338504	
8.8	0.55654	0.00333481	
8.81	0.556096	0.00328532	
8.82	0.555652	0.00323657	
8.83	0.555207	0.00318854	
8.84	0.554762	0.00314121	
8.85	0.554317	0.00309459	
8.86	0.553871	0.00304866	
8.87	0.553425	0.00300341	
8.88	0.552978	0.00295882	
8.89	0.552531	0.0029149	
8.9	0.552083	0.00287163	
8.91	0.551635	0.002829	
8.92	0.551186	0.002787	
8.93	0.550737	0.00274562	
8.94	0.550288	0.00270485	
8.95	0.549838	0.00266469	
8.96	0.549387	0.00262512	
8.97	0.548937	0.00258614	
8.98	0.548485	0.00254773	
8.99	0.548033	0.0025099	
9	0.547581	0.00247262	
9.01	0.547129	0.0024359	
9.02	0.546676	0.00239972	
9.03	0.546222	0.00236408	
9.04	0.545768	0.00232896	
9.05	0.545314	0.00229437	
9.06	0.544859	0.00226029	
9.07	0.544403	0.00222671	
9.08	0.543947	0.00219363	
9.09	0.543491	0.00216104	
9.1	0.543034	0.00212894	
9.11	0.542577	0.00209731	
9.12	0.54212	0.00206615	
9.13	0.541661	0.00203545	
